cycle,time,x_pos_true,x_vel_true,y_pos_true,y_vel_true,z_pos_true,z_vel_true,z_x_meas,z_y_meas,z_z_meas,x_pos_est,x_vel_est,y_pos_est,y_vel_est,z_pos_est,z_vel_est,p11,p22,p33,p44,p55,p66,innovation_x,innovation_y,innovation_z
0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.496714,1.901191,-0.823935,0.496714,0.000000,1.901191,0.000000,-0.823935,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1,0.1,0.000000,0.000000,0.000000,0.000000,0.200000,2.000000,-0.138264,-0.060661,-0.519109,-0.012276,-0.050395,0.328595,-0.155703,-0.579590,0.024193,0.397235,1.273558,0.397235,1.273558,0.397235,1.273558,-0.634978,-1.961852,0.304826
2,0.2,0.000000,0.000000,0.000000,0.000000,0.400000,2.000000,0.647689,-0.708407,2.449812,0.391204,0.019843,-0.314452,-0.263586,1.282340,0.343902,0.897356,1.572104,0.897356,1.572104,0.897356,1.572104,0.665005,-1.021432,3.026983
3,0.3,0.000000,0.000000,0.000000,0.000000,0.600000,2.000000,1.523030,-1.513714,0.600683,1.272538,-0.000263,-1.253675,-0.242714,0.759435,0.356644,0.440340,1.823331,0.440340,1.823331,0.440340,1.823331,1.129841,-1.172903,-0.716047
4,0.4,0.000000,0.000000,0.000000,0.000000,0.800000,2.000000,-0.234153,-1.803140,1.582130,0.295148,-0.418645,-1.618636,-0.388554,1.305641,0.575193,0.779255,2.404009,0.779255,2.404009,0.779255,2.404009,-1.506665,-0.525194,0.787031
5,0.5,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,-0.234137,-1.584136,0.209101,-0.108465,-0.329194,-1.603049,-0.402016,0.506654,0.786984,0.517927,2.789748,0.517927,2.789748,0.517927,2.789748,-0.487420,0.073355,-1.154059
6,0.6,0.000000,0.000000,0.000000,0.000000,1.200000,2.000000,1.579213,0.267127,0.420147,1.063425,0.639826,-0.305552,0.673887,0.469671,0.693943,0.624374,4.361135,0.624374,4.361135,0.624374,4.361135,1.720597,1.910378,-0.165205
7,0.7,0.000000,0.000000,0.000000,0.000000,1.400000,2.000000,0.767435,0.508725,2.481985,0.883209,0.763579,0.268512,0.417117,1.857105,0.025993,0.686790,5.110210,0.686790,5.110210,0.686790,5.110210,-0.359973,0.746888,1.942920
8,0.8,0.000000,0.000000,0.000000,0.000000,1.600000,2.000000,-0.469474,-1.581191,0.250424,-0.139066,-0.528865,-1.143878,-1.293504,0.622505,-1.429461,0.459487,8.565589,0.459487,8.565589,0.459487,8.565589,-1.429041,-1.891414,-1.609280
9,0.9,0.000000,0.000000,0.000000,0.000000,1.800000,2.000000,0.542560,0.895038,1.384786,0.251666,-0.485676,0.036324,-1.166011,1.026283,-1.376234,0.935217,8.830694,0.935217,8.830694,0.935217,8.830694,0.734513,2.168267,0.905227
10,1.0,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,-0.463418,-0.483061,2.034027,-0.330453,-0.901238,-0.402708,-1.417140,1.805534,-0.662116,0.399114,10.537203,0.399114,10.537203,0.399114,10.537203,-0.666516,-0.402784,1.145368
11,1.1,0.000000,0.000000,0.000000,0.000000,2.200000,2.000000,-0.465730,0.146793,2.311373,-0.448659,-0.941366,-0.114524,-0.802847,2.095107,-0.153727,0.870114,14.213977,0.870114,14.213977,0.870114,14.213977,-0.045154,0.691215,0.572050
12,1.2,0.000000,0.000000,0.000000,0.000000,2.400000,2.000000,0.241962,1.612221,2.220907,0.039852,-0.970742,1.146831,-0.870491,2.184549,-0.159012,0.517259,14.469623,0.517259,14.469623,0.517259,14.469623,0.784758,1.807030,0.141173
13,1.3,0.000000,0.000000,0.000000,0.000000,2.600000,2.000000,-1.913280,0.896839,2.995820,-1.408765,-3.969189,0.941130,-1.133723,2.770978,1.177279,0.551477,25.368384,0.551477,25.368384,0.551477,25.368384,-1.856058,-0.162943,0.827173
14,1.4,0.000000,0.000000,0.000000,0.000000,2.800000,2.000000,-1.724918,-0.268531,3.492856,-1.753895,-3.882826,0.124792,-2.305972,3.276101,1.823290,0.803911,30.538554,0.803911,30.538554,0.803911,30.538554,0.080766,-1.096289,0.604151
15,1.5,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,-0.562288,-0.891192,3.734638,-0.946083,-1.728977,-0.700402,-3.376683,3.667540,2.199842,0.484331,38.168673,0.484331,38.168673,0.484331,38.168673,1.579890,-0.785387,0.276208
16,1.6,0.000000,0.000000,0.000000,0.000000,3.200000,2.000000,-1.012831,-2.151815,2.214196,-1.043941,-1.417649,-1.825397,-6.643217,2.704617,-2.707910,0.606213,74.091409,0.606213,74.091409,0.606213,74.091409,0.106149,-1.113745,-1.673328
17,1.7,0.000000,0.000000,0.000000,0.000000,3.400000,2.000000,0.314247,-0.719153,3.115845,-0.109858,5.104138,-1.219773,1.055191,2.923007,0.257502,0.579039,152.151044,0.579039,152.151044,0.579039,152.151044,1.499953,1.770566,0.682019
18,1.8,0.000000,0.000000,0.000000,0.000000,3.600000,2.000000,-0.908024,-0.211130,4.794763,-0.663626,-4.823535,-0.379803,7.906832,4.449992,14.262413,0.377716,363.140121,0.377716,363.140121,0.377716,363.140121,-1.308580,0.903124,1.846006
19,1.9,0.000000,0.000000,0.000000,0.000000,3.800000,2.000000,-1.412304,-0.987180,4.694647,-1.391636,-7.396737,-0.878686,-5.601081,4.786342,2.846052,0.260710,529.414449,0.260710,529.414449,0.260710,529.414449,-0.266325,-1.398060,-1.181586
20,2.0,0.000000,0.000000,0.000000,0.000000,4.000000,2.000000,1.465649,-0.131257,2.627141,1.303277,26.121939,-0.190281,6.583357,2.737458,-19.926832,0.248903,482.932633,0.248903,482.932633,0.248903,482.932633,3.596959,1.307537,-2.443806
21,2.1,0.000000,0.000000,0.000000,0.000000,4.200000,2.000000,-0.225776,0.076852,4.551480,-0.033106,-11.271125,0.095053,3.051023,4.374375,14.445514,0.249192,452.730567,0.249192,452.730567,0.249192,452.730567,-4.141247,-0.391203,3.806705
22,2.2,0.000000,0.000000,0.000000,0.000000,4.400000,2.000000,0.067528,-0.224856,2.421775,0.006843,-0.243479,-0.193963,-2.562837,2.589689,-16.067764,0.249859,448.311132,0.249859,448.311132,0.249859,448.311132,1.227747,-0.625011,-3.397151
23,2.3,0.000000,0.000000,0.000000,0.000000,4.600000,2.000000,-1.424748,-0.650003,4.646935,-1.354218,-12.898463,-0.639991,-4.359194,4.463297,16.881868,0.250030,449.522745,0.250030,449.522745,0.250030,449.522745,-1.407243,-0.199756,3.664023
24,2.4,0.000000,0.000000,0.000000,0.000000,4.800000,2.000000,-0.544383,0.168655,6.697767,-0.649489,5.998353,0.106354,6.841710,6.670421,21.798333,0.250015,450.243708,0.250015,450.243708,0.250015,450.243708,2.099681,1.244566,0.546283
25,2.5,0.000000,0.000000,0.000000,0.000000,5.000000,2.000000,0.110923,0.441941,4.052107,0.102897,7.443687,0.459363,3.704145,4.291922,-21.389215,0.249995,450.337530,0.249995,450.337530,0.249995,450.337530,0.160577,-0.348584,-4.798147
26,2.6,0.000000,0.000000,0.000000,0.000000,5.200000,2.000000,-1.150994,-1.090399,4.365677,-1.051152,-10.541741,-0.994458,-13.578494,4.255122,-1.473921,0.249991,450.300437,0.249991,450.300437,0.249991,450.300437,-1.998260,-1.920177,2.212677
