cycle,px_hex,py_hex,v_hex,theta_hex,delta_hex,a_hex,z_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex
0,0000007F28A9,FFFFFF13A6FC,000183CE4590,FFFFFFCBDD9C,000000000000,000000000000,000000C742AC,000005000000,000005000000,000014000000,00000019999A,00000019999A,000001000000,000005000000
1,00000739D1BD,FFFFFC9923FD,000183CA9C16,FFFFFFA85B8E,FFFFFFF78A8B,000000000002,FFFFFF9DC9C3,0000018C2A7E,000001B1DEAD,00001DFCEF2E,000000E691D1,000000FE161D,00000600139C,0000017830A9
2,00000EFBC44F,FFFFFA852C70,000183D78B8E,FFFFFF7A179E,0000001F0E8A,0000000001E1,FFFFFF2E3813,000001E48C50,000001CC041F,000027FD7A40,000000736C65,00000085B4EA,00000B00894A,000001036AB1
3,000016949DE1,FFFFFA18F0E1,00018449C091,00000035A814,00000067956E,00000000503F,FFFFFF27BCE3,00000189F755,000001D8C9CE,000031D709C5,000001C75D7A,000000E31870,000010016100,000000E49660
4,00001CC02A2C,FFFFF700F4D9,000183CD00B1,000001035109,FFFFFF4CDFC8,FFFFFFFF52EB,FFFFFEFF1FF7,000001E6E597,000001BF10D4,00003BC321A7,0000018D5680,000000980B49,000015029A8E,000000E84C84
5,000023DA57CB,FFFFF88B8BB3,000183B87D66,FFFFFFFF03F3,FFFFFE607A3C,FFFFFFFEA0E0,FFFFFEB45F73,000001DDDAC3,00000185B87C,000045B98E91,000001ACFDF9,000000AF215E,00001A0435D0,000000E791AD
6,00002CA39A13,FFFFF2F4F0CB,00018257E75D,000002EAB10D,FFFFFEB140CF,FFFFFFF98387,FFFFFEC50C1F,000001C73AF1,000001BC13F3,00004AC662E3,000005689EA9,000000BD8189,00001F05EDF9,000000E7B5D7
7,00002FF191A8,FFFFF32A1DA1,0001811C5B69,FFFFFFAE71C6,FFFFFDD57FC3,FFFFFFF0A5C7,FFFFFED0D72B,000001979191,0000017AB7F9,00004F47D503,0000013C7BB7,000000D9CB9E,000024078698,000000E7AED2
8,00003704A08F,FFFFEBBA2746,00017EC64128,000000BAA31E,FFFFFE9314BC,FFFFFFE0529E,FFFFFE80E673,000001A81BEF,000001EE2DE5,000056EC3B23,0000018DF84F,000000D52422,00002909DA20,000000E7B02F
9,00003F4961E8,FFFFEABB0346,00017C54D7B6,FFFFFE3DFD6F,FFFFFE1E513B,FFFFFFCFB835,FFFFFEA5C5BF,000001E888D3,0000019B6A94,0000540FA684,00000544D60F,0000008510AA,00002E0A9D01,000000E7AFEB
10,0000402BD48B,FFFFE93486BF,000179AD143E,FFFFFC562A35,FFFFFE2CFD8C,FFFFFFBA1ED4,FFFFFDDB4F9A,0000016C9679,0000019AB8D6,000049FD26BA,000002069116,000000D8FF56,00003307905D,000000E7AFF8
11,00004A6D8ACD,FFFFE43975DB,00017BB80B32,FFFFFEA7B15E,FFFFFDB40B30,FFFFFFD0BAAD,FFFFFD88A7C0,000001D6F02E,000001D194A7,00004B8829BA,000002537836,000000BAFBAE,000038076D0A,000000E7AFF5
12,000051882977,FFFFE2C6C34A,00017714E416,0000001485E5,FFFFFE106B8A,FFFFFF93617E,FFFFFD131D90,000001D6052E,000001CDBCC3,00004A1905E8,000001E5E425,000000EE1835,00003D03C0AD,000000E7AFF6
13,0000566943CA,FFFFDD4B66D9,000177DD8C75,000001D17F82,FFFFFE33202C,FFFFFF9FA29C,FFFFFC5394FB,000001CFE0EA,000001E118D8,000040FF0ED5,0000033B4915,000000EAF1A5,000041F9DC5D,000000E7AFF5
14,00005C097DBC,FFFFDBD1D5BD,00017E633845,000000EA7079,FFFFFD0DF8DE,00000015133D,FFFFFC4CC987,000001D59039,000001E3AC18,000039A61B4B,0000027E4F21,0000007401E0,000046E8B0AB,000000E7AFF6
15,000060C8AE42,FFFFD7BF90D0,0001819B1497,000000860A39,FFFFFD0DFCA9,0000005E6C99,FFFFFC42BC64,000001D98853,000001B7A879,0000330C3CB2,000002198600,000000FFC2DD,00004BCBB1C6,000000E7AFF5
