cycle,px_hex,py_hex,v_hex,theta_hex,delta_hex,a_hex,z_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex
0,0000007F28A9,FFFFFF13A6FC,000311721623,FFFFFF00AEE2,000000000000,000000000000,000000C742AC,000005000000,000005000000,000014000000,00000019999A,00000019999A,000001000000,000005000000
1,0000082E65C8,FFFFF0EC6045,00031173DDC4,FFFFFF7FEAFD,FFFFFFEFA935,000000000004,FFFFFFB99958,000001CFF49C,000001F10383,00001E010FC6,000001B289FA,000000FA9820,00000600139D,0000017830A9
2,00001169A0B3,FFFFE3D90ADE,000311640C7D,FFFFFF56EDD0,FFFFFFB52EED,FFFFFFFFFD42,FFFFFF5F3BCA,000001EA997E,000001E6D6D7,000028033F8F,0000010835C5,000000EF2564,00000B008948,000001036AB1
3,00001A346F3E,FFFFD7A38D5D,0003116A6CDC,FFFFFE114E06,FFFFFFE23ADB,0000000002A9,FFFFFF6F8D09,000001E6DEBB,000001F45BB2,000032081019,00000064796B,000000EF6577,000010016111,000000E49660
4,000020580AF9,FFFFC7E6D745,0003113FDCE6,0000009EA873,000000B3209C,FFFFFFFFB82E,FFFFFF60D801,000001E5E5CD,000001F6E0BF,00003C08D96F,0000018980DE,00000095F5A6,000015029AE5,000000E84C84
5,00002858AA91,FFFFBF9CE2AF,00030FEC6C55,000001FBA53F,FFFFFE58D354,FFFFFFFC01AB,FFFFFF32BA94,000001F348A5,000001D30A00,000046018512,000004A593BD,000000B5FBD2,00001A04365A,000000E791AD
6,000031780AC5,FFFFB3ECC62D,000306549AA4,FFFFF4E7C544,FFFFFC9047C1,FFFFFFD4BF63,FFFFFF5D9ECB,000001E930D5,000001B0219D,00004C0D648E,000002288EF7,000000D14F7C,00001F05EEBF,000000E7B5D7
7,0000368DD259,FFFFA37D43DD,00030D310167,FFFFFED2CBE1,FFFFFB2DEE93,FFFFFFF69256,FFFFFF7E0FC2,000001FACE9C,000001F0AC55,00004E1791F6,000002E47F02,000000AC7F1A,000024078B86,000000E7AED2
8,00003B0EED15,FFFF96A1EB94,00030E1E55CB,FFFFFEF5EE66,FFFFFB2D2F7F,FFFFFFF50FCA,FFFFFF3D7B5C,000001F7AEF4,000001EFFF1C,000057ACED3D,000005DA385F,000000FF9E20,0000290A2C18,000000E7B02F
9,00004276E93A,FFFF8C129766,00031642F137,000000E602D4,FFFFFB3D1BB0,00000035C06D,FFFFFF6E13F5,000001F95A2F,000001F24F65,000057715E78,000003C381A5,000000FFE3CF,00002E0AC115,000000E7AFEB
