cycle,px_hex,py_hex,v_hex,theta_hex,delta_hex,a_hex,z_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex
0,0000327F28A8,FFFFFFDC9AB6,00001394B4CB,0000018D0938,000000000000,000000000000,00000AA5CEEA,000005000000,000005000000,000014000000,00000019999A,00000019999A,000001000000,000005000000
1,0000333B1552,00000041824C,00001395830B,0000018BADEF,FFFFFFFF5EA1,000000000000,00000A060278,000001787524,0000017862F7,00001DFC3501,0000010CC12C,000001003F06,00000600139C,0000017830A9
2,00003360DF9D,000001156BA5,000013D3B482,00000129DAB3,FFFFFFFC59F8,000000000900,000009D24952,000001055FB2,00000107D61A,000027E06827,000001B0A0B3,000000FF50FC,00000B00894B,000001036AB1
3,000033250A6A,000001489C0C,000013969138,000000A6EBF8,00000009C5C1,FFFFFFFFD9FC,000009BBA08D,000000E9F2A0,000000EADD77,0000318E964F,000001AF9CE4,000000FD7979,0000100160ED,000000E49660
4,000032F68117,00000106A255,000012AA0811,00000002D190,0000000AADBC,FFFFFFFE8870,0000094AF0BF,000000E3CF6A,000000E44AC7,00003AF1DCCC,000001A7F331,000000FC7D40,00001502997C,000000E84C84
5,000032948028,0000012BA7CD,000011B90FEF,FFFFFFEA963B,00000022EB6D,FFFFFFFBFDCD,0000099FC58D,000000E5ED51,000000E3E099,00004417C064,0000014DEEBC,000000FC958E,00001A043044,000000E791AD
6,0000322E8400,0000014A2098,000010660EF7,FFFFFFE30304,000000344D95,FFFFFFF74593,00000A3672C1,000000E7E0B5,000000E445C9,00004CB9D3A7,00000159E52F,000000FC17B2,00001F061D68,000000E7B5D7
7,0000322411F9,00000206494B,00000FAF3C28,0000007D45C1,00000066A936,FFFFFFF3773E,000009B849B4,000000E8AFD8,000000E489F2,000054B8A4A5,000001A6A1CD,000000FBE41D,0000240853A1,000000E7AED2
8,000031EE1832,000002D38618,00000F707696,0000001B5E7E,00000092A951,FFFFFFF2BFA3,00000977EC9C,000000EA1E81,000000E4BAFE,00005C615715,000001B54446,000000FC22B7,0000290ACB44,000000E7B02F
9,00003223526F,0000033EFC99,00000FE7FBBD,0000002B4622,000000A55FAD,FFFFFFF60CD7,00000990CCD0,000000E7FCD9,000000E44DBB,00006335EFE5,0000013224A1,000000FC0708,00002E0D57DC,000000E7AFEB
10,000031F05323,000004803C38,0000107C7B45,0000003F271A,000000F33FDB,FFFFFFFB6750,000009B8C0FD,000000E854D9,000000E4BB8D,00006950CDB4,0000014280F6,000000FBEE2A,0000330FD7CB,000000E7AFF8
11,0000319BB677,00000536DFA0,000010276103,FFFFFFC51FBF,00000120F08C,FFFFFFF92EC1,0000097495DC,000000E77567,000000E42C71,00006EE35D64,000001A973F1,000000FBCFBB,000038122BE4,000000E7AFF5
12,000031C9F23B,000004E42942,00000F53B64E,FFFFFFDB8F8B,00000106D48F,FFFFFFF082B5,0000093DBBB1,000000E7BEC9,000000E42D0C,000073D9919E,0000014A0579,000000FBCD76,00003D141F0A,000000E7AFF6
13,000031F06E2C,000005B9CBB2,000010ACE6D3,FFFFFFF874E7,0000013475AC,000000008273,000009903AEA,000000E8B66A,000000E451EC,00007855C77F,0000015C3523,000000FBECDF,0000421581D6,000000E7AFF5
14,000031DE663A,00000625EBC9,000010822017,FFFFFF8D6791,0000014A6E44,FFFFFFFE82AD,000009460BC6,000000E8790C,000000E38064,00007C982267,000001AE2352,000000FBA97C,00004716440E,000000E7AFF6
15,0000319C2BED,00000674C4EF,00000F4B6A97,0000002F7C1F,0000016426BA,FFFFFFEBF810,000009DDE251,000000E97E88,000000E38B2B,000080770B42,000001C9E5DF,000000FBB705,00004C160AF2,000000E7AFF5
16,000031B1F49A,00000685134D,00000EC760D7,000000474BBE,0000015B827D,FFFFFFE35C15,00000A0C9234,000000E88F40,000000E5F7D9,0000854E1600,000001534DC0,000000FC0A47,0000511617AD,000000E7AFF6
17,000031755606,0000071B7B5D,00000F805A23,FFFFFFF0D8A3,00000175F481,FFFFFFF1C2D9,00000A4449DE,000000E6FA8B,000000E6F06D,00008A99AE34,000001D7B766,000000FC5F06,00005615D1D0,000000E7AFF5
18,000031CC6207,00000837BC8A,0000134B7E81,0000003DA6A6,000001959774,0000003BD45D,000009F78ADC,000000E398D3,000000E9316E,00008FA951CE,0000016F6AFE,000000FC6652,00005B145772,000000E7AFF6
19,0000317DDCC3,000008F7BBFB,000014DE051B,FFFFFFF20CFB,000001B83F5B,0000005E8E35,00000A541C83,000000E4AC99,000000EA013E,0000951FEBB9,000001F26690,000000FBB5AD,000060125FD8,000000E7AFF5
