cycle,px_hex,py_hex,v_hex,theta_hex,omega_hex,a_hex,z_hex,vz_hex,az_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex,p88_hex,p99_hex
0,0000007F28A9,FFFFFF13A6FC,000000000000,000000000000,000000000000,000000000000,000000C742AC,000000000000,000000000000,000005000000,000005000000,000014000000,00000019999A,00000019999A,000001000000,000005000000,000064000000,000000028F5C
1,00000539FF4F,FFFFFD2DF9AB,00000060B687,FFFFFFFFFFFB,FFFFFFFFFFFC,000000000C60,FFFFFF9D232C,FFFFFF89B281,FFFFFFFFFFF4,00000182BB4A,000001829CBF,000001000000,000001000000,000001000000,000001000000,0000018334E8,000001000000,000001000000
2,000009807CAC,FFFFFC0E7474,0000006366CA,FFFFFFFFFFD6,FFFFFFFFFC44,000000002FE1,FFFFFF2AC79C,FFFFFF8E332F,FFFFFFFFFC1C,0000012F64F1,0000012F62BA,000001000000,000001000000,000001000000,000001000000,0000012F5E17,000001000000,000001000000
3,00000EA28D32,FFFFFB6DEA52,00000078E225,FFFFFFFFFF9A,FFFFFFFFF9DB,000000005F96,FFFFFF237553,FFFFFF8E1267,FFFFFFFFFBBE,000001237513,0000012370DD,000001000000,000001000000,000001000000,000001000000,0000012377D0,000001000000,000001000000
4,000013C7EE13,FFFFF96C264B,0000008B8784,FFFFFFFFFF45,FFFFFFFFF11F,0000000090B5,FFFFFEF3D4F1,FFFFFF8D823F,FFFFFFFFF9F2,00000121B460,000001240E92,000001000000,000001000000,000001000000,000001000000,00000121B1E9,000001000000,000001000000
5,000019A8678F,FFFFF78A55CB,000000A26EB0,FFFFFFD8864B,FFFFFFFFF0D9,FFFFFFFA5746,FFFFFE9FE809,FFFFFF8C4581,FFFFFFFFF6A6,000001218A4C,000001FFD446,000001000000,000001000000,000001000000,000001000000,000001217033,000001000000,000001000000
6,000020C982F3,FFFFF571A8A2,000000BD2CCC,000000728046,FFFFFFFFF4F0,FFFFFFFE4DE0,FFFFFEB92778,FFFFFF8CAC0B,FFFFFFFFF765,0000012B0E98,000001F859DE,000001000000,000001000000,000001000000,000001000000,000001216644,000001000000,000001000000
7,00002C43FB56,FFFFEC72E1A1,000000CC27C4,0000004D8810,FFFFFFFFF2FD,FFFFFFDDA890,FFFFFEC9A106,FFFFFF8CF29F,FFFFFFFFF7C5,0000015ECAEC,000001D266B5,000001000000,000001000000,000001000000,000001000000,0000012164DA,000001000000,000001000000
8,0000364A0CFD,FFFFEB4A84C4,000000CF6CA5,FFFFFFD50C00,FFFFFFFFE8A7,FFFFFFAE0942,FFFFFE6E1AAD,FFFFFF8BA2B6,FFFFFFFFF442,000001B1A3A0,000001F82337,000001000000,000001000000,000001000000,000001000000,0000012164A3,000001000000,000001000000
9,00003F5838C1,FFFFEA6C8094,000000CF3540,FFFFFFE42401,FFFFFFFFE88F,0000005531AC,FFFFFE9E246F,FFFFFF8C5FDC,FFFFFFFFF60B,000001FCD7C3,00000148D146,000001000000,000001000000,000001000000,000001000000,00000121649B,000001000000,000001000000
10,000044B893C6,FFFFE6007B65,000000D33804,FFFFFFAC9931,FFFFFFFFE7FF,00000099B037,FFFFFDB4C1D1,FFFFFF88FA7E,FFFFFFFFED52,000001F945C7,000001F53C9A,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
11,00004B181E49,FFFFE4AFB586,000000EACDB9,FFFFFFE05AF4,FFFFFFFFE184,0000005E94E3,FFFFFD615BB8,FFFFFF87C961,FFFFFFFFEA48,000001FF2840,00000147AB49,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
12,0000521DB191,FFFFE2E32F2D,000000EF4C40,FFFFFFD6BF8A,FFFFFFFFE12C,000000BA4DF3,FFFFFCE5C7A5,FFFFFF860122,FFFFFFFFE5B1,000001F86B77,000001F13176,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
13,0000563E1B41,FFFFDF83DF6B,000000EDAFF0,FFFFFFB97040,FFFFFFFFD066,0000007F984B,FFFFFC169890,FFFFFF82FE76,FFFFFFFFDDF9,000001FB7271,000001578D5F,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
14,00005C8782CF,FFFFDDBF30AF,000000FE30F2,FFFFFFBBB97F,FFFFFFFFC2F4,00000095E144,FFFFFC23263F,FFFFFF83366A,FFFFFFFFDE93,000001FC3209,0000012E8B80,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
15,000060A5A40E,FFFFDB40E936,00000101BB69,FFFFFFC81CB2,FFFFFFFFAE36,00000088FBFE,FFFFFC24F17F,FFFFFF8345E9,FFFFFFFFDEBE,000001F9E827,00000125BD2C,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
16,00006329996D,FFFFD9371CC9,0000010AE61B,FFFFFFC6002A,FFFFFFFF9D1B,000000853E58,FFFFFCBAA962,FFFFFF8581C7,FFFFFFFFE47C,000001EF273A,00000122C1B8,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
17,00006730B1C9,FFFFD7C95928,0000010F938B,FFFFFFC255F9,FFFFFFFF8E5F,000000C49BA0,FFFFFCC61C74,FFFFFF85B587,FFFFFFFFE502,000001EA763D,00000122CE7B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
18,000068FB275B,FFFFD53E6282,000001092B2E,FFFFFFCFA6E6,FFFFFFFF767A,000000932C72,FFFFFC31CAF0,FFFFFF839057,FFFFFFFFDF98,000001EA30DC,00000121CD52,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
19,00006B47AAFB,FFFFD3AF5E2A,0000010E803F,FFFFFFCF24B4,FFFFFFFF6777,000000C50504,FFFFFCDA84FA,FFFFFF8613B2,FFFFFFFFE60D,000001CE131A,00000121365D,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
20,0000709F17B5,FFFFD18AD12D,00000118614C,FFFFFFAE8DB9,FFFFFFFF48A3,0000016C53FC,FFFFFD093115,FFFFFF86CBF4,FFFFFFFFE7EF,000001CCB1C4,000001216CF9,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
21,000072570B68,FFFFCEF4670A,00000125B232,FFFFFFB79E30,FFFFFFFF336C,000001299858,FFFFFCE95333,FFFFFF865CCD,FFFFFFFFE6DD,000001EC8136,0000012065F6,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
22,00007569ACC5,FFFFCCE7BDF3,0000012F582C,FFFFFFB59924,FFFFFFFF1CDC,0000012F8C14,FFFFFC8795C4,FFFFFF84F5DE,FFFFFFFFE356,000001DD7EEB,00000120FC55,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
23,000075DBD9BC,FFFFCAD23662,000001370538,FFFFFFC46361,FFFFFFFF0FA4,000000E068BC,FFFFFC0604DD,FFFFFF83173F,FFFFFFFFDE9A,000001D8AFC0,000001205982,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
24,000077A326D0,FFFFC8626ECF,0000013BC022,FFFFFFBE4A3A,FFFFFFFEF0BD,000000E84D89,FFFFFBEB9523,FFFFFF82BC95,FFFFFFFFDDBE,000001BA1F8B,000001211B44,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
25,0000798BE09A,FFFFC50CAF3E,000001456298,FFFFFFBBF9AD,FFFFFFFEC9AC,000001056A4E,FFFFFC63D4DB,FFFFFF8489AF,FFFFFFFFE272,000001B6D7FB,000001213676,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
26,000079CBAF19,FFFFC23DB961,0000014AD2A0,FFFFFFC77E0D,FFFFFFFEB25F,000000B7E608,FFFFFCFC51B5,FFFFFF86D003,FFFFFFFFE857,000001B17152,00000121D7D6,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
27,00007BD919E7,FFFFBFA81B15,00000152BC8E,FFFFFFBAEDF7,FFFFFFFE8AC3,00000115366E,FFFFFD404427,FFFFFF87D83E,FFFFFFFFEB0E,0000018A334A,0000012189CB,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
28,00007CA6935D,FFFFBD1CEC30,000001596D03,FFFFFFC1B406,FFFFFFFE7237,000000EFD6B0,FFFFFCB1DD97,FFFFFF85C944,FFFFFFFFE5DA,000001A02C10,000001216983,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
29,00007DEA1D12,FFFFBAC46439,00000161EFE0,FFFFFFBE5C31,FFFFFFFE5253,00000100A32D,FFFFFC1E9CE7,FFFFFF83A820,FFFFFFFFE07E,0000018A2333,000001217A8E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
30,00007EEA4919,FFFFB82505C8,000001684DB3,FFFFFFC043BA,FFFFFFFE31A4,000000FA8759,FFFFFC371FB8,FFFFFF840D0F,FFFFFFFFE193,000001882376,000001217158,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
31,000081BBF9F4,FFFFB4F4417D,00000175A76B,FFFFFFA74D3D,FFFFFFFDEE38,0000018436C1,FFFFFB985156,FFFFFF81C088,FFFFFFFFDBCE,0000017C1F6E,000001216819,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
32,0000822EF43C,FFFFB293DE7F,0000017E5404,FFFFFFB2E83E,FFFFFFFDE4A8,0000014219D1,FFFFFBF649C0,FFFFFF832ACA,FFFFFFFFDF82,000001A75F35,00000121566E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
33,0000826A37E0,FFFFB0268F57,000001864A3A,FFFFFFBD97FD,FFFFFFFDD40A,00000101F842,FFFFFC085289,FFFFFF83775F,FFFFFFFFE04E,0000018EBFFC,00000121464B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
34,0000850F4D13,FFFFAD1214B6,000001938451,FFFFFFA448A3,FFFFFFFD894A,000001882DF2,FFFFFBED6C59,FFFFFF831AFC,FFFFFFFFDF75,0000017020F7,0000012175C5,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
35,00008642B6BC,FFFFA9A580DA,000001A0D4D5,FFFFFFA83552,FFFFFFFD5F94,000001726E46,FFFFFB68AA2E,FFFFFF81307E,FFFFFFFFDAB0,00000197F7CC,0000012157AC,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
36,0000894EC411,FFFFA5A47D0B,000001B00969,FFFFFF94C56F,FFFFFFFCFCED,000001D40B0E,FFFFFBCA96C9,FFFFFF82A9BC,FFFFFFFFDE98,0000018BCC89,000001216112,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
37,00008A48715A,FFFFA13B0A76,000001BE098A,FFFFFF9C5D36,FFFFFFFCD2F7,000001AFF13F,FFFFFB9C410C,FFFFFF82044F,FFFFFFFFDD18,000001A0C36A,0000012176E4,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
38,00008CB2D0E4,FFFF9C806E61,000001CFC168,FFFFFF91B122,FFFFFFFC6E7E,000001DF4374,FFFFFB378ED9,FFFFFF80927F,FFFFFFFFD985,0000018F95CB,00000121683F,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
39,0000903B0D97,FFFF972F7009,000001E50583,FFFFFF7F117C,FFFFFFFBD9A8,0000023860E3,FFFFFA4DA4B3,FFFFFF7D2BA9,FFFFFFFFD103,00000193C86F,000001216C8B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
40,0000935D8FD7,FFFF92D44842,000001FA1C61,FFFFFF758FB4,FFFFFFFB64D0,00000267E87D,FFFFFAB30452,FFFFFF7EB1FD,FFFFFFFFD510,000001A0DF28,0000012161C1,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
41,000095613AF6,FFFF8E448F14,0000020FC009,FFFFFF73EAAB,FFFFFFFB19CA,000002687B9A,FFFFFB8F08D4,FFFFFF81F692,FFFFFFFFDD98,000001A40AF2,000001215714,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
42,000096F49753,FFFF89CBAFA7,000002244F6A,FFFFFF751E43,FFFFFFFADC18,0000025C3653,FFFFFC0F3F8B,FFFFFF83E1BE,FFFFFFFFE2A5,0000019F1231,0000012160ED,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
43,000098863DF9,FFFF84CC2C45,00000239C314,FFFFFF75257B,FFFFFFFA8DE7,00000253A899,FFFFFB9B330F,FFFFFF823627,FFFFFFFFDE9B,000001975C97,000001216628,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
44,00009956F909,FFFF8018D240,0000024D7CE3,FFFFFF798BD4,FFFFFFFA6504,0000023112DB,FFFFFB418124,FFFFFF80EDBA,FFFFFFFFDB84,0000018FA572,0000012168F8,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
45,00009B5E2BD7,FFFF7C4763C1,00000260AADE,FFFFFF73D3AF,FFFFFFF9FACA,0000024A2357,FFFFFB6916DC,FFFFFF818B8E,FFFFFFFFDD3B,000001845569,000001216AF7,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
46,00009D68E1EF,FFFF77DE33FD,0000027612DC,FFFFFF6E06B8,FFFFFFF9823E,00000261A7AF,FFFFFAF89D06,FFFFFF7FED72,FFFFFFFFD940,0000018379E3,000001215B86,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
47,0000A05800ED,FFFF73B9212A,0000028CD47F,FFFFFF621F21,FFFFFFF8CD0A,0000029DF2CF,FFFFFB26D4D8,FFFFFF80A448,FFFFFFFFDB40,00000182B1EC,000001216345,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
48,0000A1F88F07,FFFF6F43E303,000002A414A3,FFFFFF5FE2E4,FFFFFFF87240,0000029E7A41,FFFFFB6D2C4F,FFFFFF81B5D4,FFFFFFFFDE25,00000187263B,0000012164D1,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
49,0000A20A5ECB,FFFF6A8C205F,000002B99128,FFFFFF67BF9A,FFFFFFF888F9,00000264EABD,FFFFFBC5C2DB,FFFFFF830C03,FFFFFFFFE1BB,00000183E315,0000012166FB,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
50,0000A4893952,FFFF65D7822B,000002D19EAB,FFFFFF5DB206,FFFFFFF7C965,00000294121E,FFFFFB860C65,FFFFFF822550,FFFFFFFFDF98,000001792EC9,000001216B14,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
51,0000A5E19CF1,FFFF604FD5CA,000002EB0034,FFFFFF5C228D,FFFFFFF75CBE,0000028EE287,FFFFFB56242B,FFFFFF817A23,FFFFFFFFDE1C,0000017A3C40,000001216945,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
52,0000A71C97F2,FFFF5AFE9D14,00000303BEC1,FFFFFF5AAF1B,FFFFFFF6F534,00000287AF67,FFFFFAFB8F52,FFFFFF802E75,FFFFFFFFDAFA,00000175A8DA,000001216B89,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
53,0000A95A66AA,FFFF5562571A,0000031F0162,FFFFFF4DEE5E,FFFFFFF6174E,000002AD752A,FFFFFAC8C782,FFFFFF7F7888,FFFFFFFFD95F,00000170C67B,000001216A7E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
