cycle,px_hex,py_hex,v_hex,theta_hex,omega_hex,a_hex,z_hex,vz_hex,az_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex,p88_hex,p99_hex
0,0000327F28A8,FFFFFFDC9AB6,000000000000,000000000000,000000000000,000000000000,00000AA5CEEA,000000000000,000000000000,000005000000,000005000000,000014000000,00000019999A,00000019999A,000001000000,000005000000,000064000000,000000028F5C
1,0000333A7541,000000267F51,0000000EF5A9,FFFFFFFFFFFD,FFFFFFFFFFFE,0000000001E9,00000A05A902,FFFFFFC072E2,FFFFFFFFFFF9,00000182BB4A,000001829CBF,000001000000,000001000000,000001000000,000001000000,0000018334E8,000001000000,000001000000
2,0000336023BB,000000D8981F,0000000F0D31,FFFFFFFFFFEA,000000000043,000000000316,000009D090D4,FFFFFFC28844,FFFFFFFFFE25,0000012F64B2,0000012F62BB,000001000000,000001000000,000001000000,000001000000,0000012F5E17,000001000000,000001000000
3,0000330EC975,000000EAB8E3,0000000DB762,FFFFFFFFFFDE,000000000044,000000000012,000009B75BE5,FFFFFFC1EDA2,FFFFFFFFFD3F,0000012374C4,0000012370DC,000001000000,000001000000,000001000000,000001000000,0000012377D0,000001000000,000001000000
4,000032BF7165,0000009D95C6,0000000C9601,FFFFFFFFFFEA,000000000021,FFFFFFFFFD22,00000933B0FE,FFFFFFC04F8F,FFFFFFFFF856,00000121B242,00000121AF4C,000001000000,000001000000,000001000000,000001000000,00000121B1EA,000001000000,000001000000
5,000032409400,000000EE1E3E,0000000AB568,FFFFFFFFFFD1,00000000002E,FFFFFFFFF84C,0000099D7E42,FFFFFFC1EE59,FFFFFFFFFC49,000001217017,000001216D0F,000001000000,000001000000,000001000000,000001000000,000001217033,000001000000,000001000000
6,000031CD1480,0000012ABEC2,0000000902A1,FFFFFFFFFFB8,00000000002C,FFFFFFFFF3DA,00000A4C3EA8,FFFFFFC47FEA,0000000002D7,00000121664A,00000121634C,000001000000,000001000000,000001000000,000001000000,000001216645,000001000000,000001000000
7,000031BF5E07,000002086630,00000008CE32,FFFFFFFFFFAC,00000000006F,FFFFFFFFF351,000009B16481,FFFFFFC23D2E,FFFFFFFFFD01,0000012164DA,0000012161DA,000001000000,000001000000,000001000000,000001000000,0000012164DA,000001000000,000001000000
8,00003195AEEE,000002C81CEA,000000083098,FFFFFFFFFFA3,0000000000A8,FFFFFFFFF1B3,000009687DC9,FFFFFFC12F93,FFFFFFFFFA44,0000012164A3,0000012161A4,000001000000,000001000000,000001000000,000001000000,0000012164A2,000001000000,000001000000
9,000031CC315A,0000032EDF98,00000008FCC6,FFFFFFFFFF8C,0000000000B5,FFFFFFFFF3AA,0000098A185E,FFFFFFC1B282,FFFFFFFFFB80,00000121649B,00000121619D,000001000000,000001000000,000001000000,000001000000,00000121649A,000001000000,000001000000
10,0000319044B5,000004814B09,000000081A74,FFFFFFFFFF6C,000000000111,FFFFFFFFF14D,000009BA079A,FFFFFFC26B4E,FFFFFFFFFD3E,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
11,0000313AF8AE,0000052848AC,00000006D8CE,FFFFFFFFFF6F,000000000140,FFFFFFFFEE07,00000969C54A,FFFFFFC141F2,FFFFFFFFFA37,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
12,0000317444FE,000004BFB1CC,00000007AF88,FFFFFFFFFF7A,000000000122,FFFFFFFFF02D,0000092D4C41,FFFFFFC06311,FFFFFFFFF7F8,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
13,00003192021C,000005A427C3,000000081E7F,FFFFFFFFFF5B,00000000014D,FFFFFFFFF125,000009920A39,FFFFFFC1E281,FFFFFFFFFBAF,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
14,00003181E508,00000603D190,00000007E10F,FFFFFFFFFF5E,000000000163,FFFFFFFFF081,0000093A9BD2,FFFFFFC09E31,FFFFFFFFF868,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
15,000031390E2B,0000065FECF9,00000006CE2B,FFFFFFFFFF49,000000000160,FFFFFFFFEDA5,000009EDEB43,FFFFFFC34528,FFFFFFFFFF19,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
16,00003165B3B4,000006500AC6,000000077545,FFFFFFFFFF46,00000000014D,FFFFFFFFEF3E,00000A1D7706,FFFFFFC3FC79,0000000000E2,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
17,000031374324,000006D7E416,00000006C5B8,FFFFFFFFFF30,000000000160,FFFFFFFFED67,00000A572D2C,FFFFFFC4D9FF,000000000308,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
18,0000319477DD,000007F0DD89,000000082371,FFFFFFFFFF21,000000000191,FFFFFFFFF0D7,000009F6A551,FFFFFFC37352,FFFFFFFFFF5F,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
19,0000314B9B6F,0000089A5841,000000071075,FFFFFFFFFF14,0000000001B2,FFFFFFFFEE01,00000A617D29,FFFFFFC509A5,00000000035D,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
20,0000310460DF,000009042F1A,0000000603BE,FFFFFFFFFF1D,0000000001CF,FFFFFFFFEB55,000009E60395,FFFFFFC33DAD,FFFFFFFFFEBD,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
21,0000308B286B,000009D154F5,000000043ADE,FFFFFFFFFF00,0000000001DA,FFFFFFFFE6B0,00000A7B88CF,FFFFFFC57486,000000000453,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
22,0000309BC779,00000A9336C0,000000047884,FFFFFFFFFEF7,0000000001E4,FFFFFFFFE733,00000A7FDBCE,FFFFFFC58931,000000000476,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
23,0000306718D0,00000B00C7A3,00000003B17B,FFFFFFFFFEE3,0000000001DA,FFFFFFFFE522,00000AF0208F,FFFFFFC733E1,0000000008A7,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
