Cycle 0: imm_x=0x0000007F28A8 imm_y=0xFFFFFF13A6FA imm_z=0x000000C742AA p_ct=0x000000666666 p_si=0x0000004CCCCD p_bi=0x0000004CCCCD
Cycle 1: imm_x=0x000006C8E804 imm_y=0xFFFFFC8DB969 imm_z=0xFFFFFF3BAB77 p_ct=0x0000008E88FB p_si=0x000000028F5C p_bi=0x0000006EE7A9
Cycle 2: imm_x=0x00000CE56C5E imm_y=0xFFFFFB7B3D02 imm_z=0xFFFFFEF0CD48 p_ct=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 3: imm_x=0x0000163E0FF6 imm_y=0xFFFFFAA2FA6F imm_z=0xFFFFFF0B406B p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 4: imm_x=0x00001CA5A6B2 imm_y=0xFFFFF623B59B imm_z=0xFFFFFED39CBA p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 5: imm_x=0x000023FD5D0C imm_y=0xFFFFF77723AD imm_z=0xFFFFFE5C4D3F p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 6: imm_x=0x00002D0BFB53 imm_y=0xFFFFF32A1C38 imm_z=0xFFFFFEABF06D p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 7: imm_x=0x000032E1A4AE imm_y=0xFFFFF0019CD8 imm_z=0xFFFFFED15468 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 8: imm_x=0x00003802230E imm_y=0xFFFFEBE21315 imm_z=0xFFFFFE3E247B p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 9: imm_x=0x00003F5C3C79 imm_y=0xFFFFEA503C33 imm_z=0xFFFFFEAABF00 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 10: imm_x=0x000044BB6414 imm_y=0xFFFFE5FA3DD1 imm_z=0xFFFFFD30D17E p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 11: imm_x=0x00004B12B1BF imm_y=0xFFFFE38F3290 imm_z=0xFFFFFCF96E00 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
